name,ring,quadrant,isNew,description
Subystems as one brick,Trial,Techniques,TRUE,To provide a complete system as one brick instead of multiple. First candidate is Vacuum.
Monitoring performance metrics,Trial,Techniques,TRUE,"Define performance metrics relevant for components within IAD, implement the mechanism, monitoring trends (extract relevant content from smoke tests), dashboard/mail in case of deterioation."
Standardize smoke test infrastructure,Trial,Techniques,TRUE,Investigate & implement a standardized and maintainable smoke test infrastructure (scripting is part of this)
Digital Twins for SQA,Trial,Techniques,TRUE,Digital Twin as the glue to simulate realistic behaviour of a (sub)system.
Code stereotyping,Assess,Techniques,TRUE,Classify classess according predefined stereotypes to support refactoring
AI for code review,Assess,Techniques,TRUE,Finding lines of code that require review using AI
SKY,Assess,Techniques,TRUE,"Apply Sky framework to a TEM microservice: Separate ETCD server, use SkyDL for service, adapt bootstrap code and use Sky’s service control."
Simulator generator,Assess,Techniques,TRUE,Generate SCU-simulator using actual firmware code
Transparent remote live experiment data access (not using COM),Assess,Techniques,TRUE,Unlock the datastream to other apps deployed on other PCs
Transparent remote live system (metadata) access (not using COM),Assess,Techniques,TRUE,Unlock the system state to other apps deployed on other PCs
Ability to efficiently search through ALL code-archives,Assess,Techniques,TRUE,"OpenGrok, Neo4J?"
Message brokering / MessageMQ,Assess,Techniques,TRUE,"In computer science, message queues and mailboxes are software-engineering components typically used for inter-process communication (IPC), or for inter-thread communication within the same process. They use a queue for messaging – the passing of control or of content. Group communication systems provide similar kinds of functionality."
API management tools,Assess,Techniques,TRUE,
Interface version management,Assess,Techniques,TRUE,
Dispatcher to address concurrency (message queue),Assess,Techniques,TRUE,
Orchestration for microservices,Assess,Techniques,TRUE,
Conan,Adopt,Tools,TRUE,Package manager for C++ projects
Anaconda,Adopt,Tools,TRUE,Package manager for Python projects
ComMA,Adopt,Tools,TRUE,Interface modelling tool
IAR Workbench,Adopt,Tools,TRUE,Firmware development environment
Genesis IOM Wrapper Code,Adopt,Tools,TRUE,
gcc,Adopt,Tools,TRUE,Maybe used for cross platform new code
Axini,Adopt,Tools,TRUE,To assess whether Axini can be used for test case generation in TEM
Resharper for C++,Trial,Tools,TRUE,It is there but have people used it?
Cmake,Assess,Tools,TRUE,"For internal dependency mgmt, build, installer?"
CodeScene,Assess,Tools,TRUE,Assess whether CodeScene can help identify architectural and team coupling hot spots.
Prespective,Assess,Tools,TRUE,Digital Twin engine
clang,Assess,Tools,TRUE,
Eclipse CDT C/C++,Assess,Tools,TRUE,
Specflow,Assess,Tools,TRUE,Testing
Pure Systems,Assess,Tools,TRUE,Variability management
Blue Optima,Assess,Tools,TRUE,Software Engineering Efficiency
TestRail,Assess,Tools,TRUE,
Sequila,Assess,Tools,TRUE,
TBricks,Assess,Tools,TRUE,Infrastructure created by TFS itself
Gherkin,Assess,Tools,TRUE,
EPD,Hold,Tools,TRUE,Enthought Python
LSP,Hold,Tools,TRUE,Allows to integrate easily extension into VS
Lattix,Hold,Tools,TRUE,To assess whether this tool is useful to manage our code structure and dependencies
Axivion,Hold,Tools,TRUE,
Honeycomb,Hold,Tools,TRUE,Observability
Bear Inspector,Hold,Tools,TRUE,
Selenium,Hold,Tools,TRUE,Test automation for webservices and applications
