name	ring	quadrant	isNew	description
Lightweight approach to RFCs	Trial	Techniques	TRUE	"<p>As organizations drive toward <a href=""/radar/techniques/evolutionary-architecture"">evolutionary architecture</a>, it's important to capture decisions around design, architecture, techniques and teams' ways of workings. The process of collecting and aggregating feedback that will lead to these decisions begin with Request for Comments (RfCs). RfCs are a technique for collecting context, design and architectural ideas and collaborating with teams to ultimately come to decisions along with their context and consequences. We recommend that organizations take a <strong>lightweight approach to RFCs</strong> by using a simple standardized template across many teams as well as version control to capture RfCs.</p>

<p>It's important to capture these in an audit of these decisions to benefit future team members and to capture the technical and business evolution of an organization. Mature organizations have used RfCs in autonomous teams to drive better communication and collaboration especially in cross-team relevant decisions.</p>"
Simplest possible ML	Trial	Techniques	TRUE	<p>All major cloud providers offer a dazzling array of machine-learning (ML) solutions. These powerful tools can provide a lot of value, but come at a cost. There is the pure run cost for these services charged by the cloud provider. In addition, there is a kind of operations tax. These complex tools need to be understood and operated, and with each new tool added to the architecture this tax burden increases. In our experience, teams often choose complex tools because they underestimate the power of simpler tools such as linear regression. Many ML problems don't require a GPU or neural networks. For that reason we advocate for the <strong>simplest possible ML</strong>, using simple tools and models and a few hundred lines of Python on the compute platform you have at hand. Only reach for the complex tools when you can demonstrate the need for them.</p>
SPA injection	Trial	Techniques	TRUE	<p>The <a href="https://martinfowler.com/bliki/StranglerFigApplication.html">strangler fig pattern</a> is often the default strategy for legacy modernization, where the new code wraps around the old and slowly absorbs the ability to handle all the needed functionality. That sort of "outside-in" approach works well for a number of legacy systems, but now that we've had enough experience with single-page applications (SPA) for them to become legacy systems themselves, we're seeing the opposite "inside-out" approach used to replace them. Instead of wrapping the legacy system, we instead embed the beginning of the new SPA into the HTML document containing the old one and let it slowly expand in functionality. The SPA frameworks don't even need to be the same as long as users can tolerate the performance hit of the increased page size (e.g., embedding a new <a href="/radar/languages-and-frameworks/react-js">React</a> app inside an old <a href="/radar/languages-and-frameworks/angularjs">AngularJS</a> one). <strong>SPA injection</strong> allows you to iteratively remove the old SPA until the new one completely takes over. Whereas a strangler fig can be viewed as a type of parasite that uses the host tree's stable external surface to support itself until it takes root and the host itself dies, this approach is more like injecting an outside agent into the host, relying on functionality of the original SPA until it can completely take over.</p>
Team cognitive load	Trial	Techniques	TRUE	<p>A system's architecture mimics organizational structure and its communication. It's not big news that we should be intentional about how teams interact â€” see, for instance, the <a href="/radar/techniques/inverse-conway-maneuver">Inverse Conway Maneuver</a>. Team interaction is one of the variables for how fast and how easily teams can deliver value to their customers. We were happy to find a way to measure these interactions; we used the <a href="https://teamtopologies.com/book">Team Topologies</a> author's <a href="https://github.com/TeamTopologies/Team-Cognitive-Load-Assessment">assessment</a> which gives you an understanding of how easy or difficult the teams find it to build, test and maintain their services. By measuring <strong>team cognitive load</strong>, we could better advise our clients on how to change their teams' structure and evolve their interactions.</p>
Tool-managed Xcodeproj	Trial	Techniques	TRUE	<p>Many of our developers coding iOS in Xcode often get headaches because the Xcodeproj file changes with every project change. The Xcodeproj file format is not human-readable, hence trying to handle merge conflicts is quite complicated and can lead to productivity loss and risk of messing up the entire project â€” if anything goes wrong with the file, Xcode won't work properly and developers will very likely be blocked. Instead of trying to merge and fix the file manually or version it, we recommend you use a <strong>tool-managed Xcodeproj</strong> approach: Define your Xcode project configuration in YAML (<a href="https://github.com/yonaskolb/XcodeGen">XcodeGen</a>, <a href="https://github.com/lyptt/struct">Struct</a>), Ruby (<a href="https://github.com/igor-makarov/xcake">Xcake</a>) or Swift (<a href="https://github.com/tuist/tuist">Tuist</a>). These tools generate the Xcodeproj file based on a configuration file and the project structure. As a result, merge conflicts in the Xcodeproj file will be a thing of the past, and when they do happen in the configuration file, they're much easier to handle.</p>
UI/BFF shared types	Trial	Techniques	TRUE	<p>With <a href="/radar/languages-and-frameworks/typescript">TypeScript</a> becoming a common language for front-end development and <a href="/radar/platforms/node-js">Node.js</a> becoming the preferred <a href="/radar/techniques/bff-backend-for-frontends">BFF</a> technology, we're seeing increasing use of <strong>UI/BFF shared types</strong>. In this technique, a single set of type definitions is used to define both the data objects returned by front-end queries and the data served to satisfy those queries by the back-end server. Ordinarily, we would be cautious about this practice because of the unnecessarily tight coupling it creates across process boundaries. However, many teams are finding that the benefits of this approach outweigh any risks of tight coupling. Since the BFF pattern works best when the same team owns both the UI code and the BFF, often storing both components in the same repository, the UI/BFF pair can be viewed as a single cohesive system. When the BFF offers strongly typed queries, the results can be tailored to the specific needs of the frontend rather than reusing a single, general-purpose entity that must serve the needs of many consumers and contain more fields than actually required. This reduces the risk of accidentally exposing data that the user shouldn't see, prevents incorrect interpretation of the returned data object and makes the query more expressive. This practice is particularly useful when implemented with <a href="/radar/languages-and-frameworks/io-ts">io-ts</a> to enforce the run-time type safety.</p>
Bounded low-code platforms	Assess	Techniques	FALSE	<p>One of the most nuanced decisions facing companies at the moment is the adoption of low-code or no-code platforms, that is, platforms that solve very specific problems in very limited domains. Many vendors are pushing aggressively into this space. The problems we see with these platforms typically relate to an inability to apply good engineering practices such as versioning. Testing too is typically really hard. However, we noticed some interesting new entrants to the market â€” including <a href="https://www.honeycode.aws/">Amazon Honeycode</a>, which makes it easy to create simple task or event management apps, and <a href="https://parabola.io/">Parabola</a> for IFTTT-like cloud workflows â€” which is why we're once again including <strong>bounded low-code platforms</strong> in this volume. Nevertheless, we remain deeply skeptical about their wider applicability since these tools, like Japanese Knotweed, have a knack of escaping their bounds and tangling everything together. That's why we still strongly advise caution in their adoption.</p>
Decentralized identity	Assess	Techniques	FALSE	<p>In 2016, Christopher Allen, a key contributor to <a href="https://en.wikipedia.org/wiki/Transport_Layer_Security">SSL/TLS</a>, inspired us with an introduction of 10 principles underpinning a new form of digital identity and a path to get there, <a href="http://www.lifewithalacrity.com/2016/04/the-path-to-self-soverereign-identity.html">the path to self-sovereign identity</a>. Self-sovereign identity, also known as <strong>decentralized identity</strong>, is a â€œlifetime portable identity for any person, organization, or thing that does not depend on any centralized authority and can never be taken away,â€ according to the <a href="/radar/platforms/trust-over-ip-stack">Trust over IP</a> standard. Adopting and implementing decentralized identity is gaining momentum and becoming attainable. We see its adoption in privacy-respecting <a href="https://www.civic.com/healthkey/">customer health applications</a>, <a href="https://www.truu.id/">government healthcare infrastructure</a> and <a href="https://id-bulletin.com/2020/06/04/news-gleif-and-evernym-demo-organization-wallets-to-deliver-trust-and-transparency-in-digital-business/">corporate legal identity</a>. If you want to rapidly get started with decentralized identity, you can assess <a href="https://sovrin.org/">Sovrin Network</a>, <a href="https://github.com/hyperledger/aries">Hyperledger Aries</a> and <a href="https://github.com/hyperledger/indy-node">Indy</a> OSS, as well as <a href="https://www.w3.org/TR/did-core/">decentralized identifiers</a> and <a href="/radar/techniques/verifiable-credentials">verifiable credentials</a> standards. We're watching this space closely as we help our clients with their strategic positioning in the new era of digital trust.</p>
Deployment drift radiator	Assess	Techniques	TRUE	<p>A <strong>deployment drift radiator</strong> makes version drift visible for deployed software across multiple environments. Organizations using automated deployments may require manual approvals for environments that get closer to production, meaning the code in these environments might well be lagging several versions behind current development. This technique makes this lag visible via a simple dashboard showing how far behind each deployed component is for each environment. This helps to highlight the opportunity cost of completed software not yet in production while drawing attention to related risks such as security fixes not yet deployed.</p>
Homomorphic encryption	Assess	Techniques	TRUE	<p>Fully <strong><a href="https://en.wikipedia.org/wiki/Homomorphic_encryption">homomorphic encryption</a></strong> (HE) refers to a class of encryption methods that allow computations (such as search and arithmetic) to be performed directly on encrypted data. The result of such a computation remains in encrypted form, which at a later point can be decrypted and revealed. Although the HE problem was first proposed in 1978, a solution wasn't constructed until 2009. With advances in computing power and the availability of easy-to-use open-source libraries â€” including <a href="https://github.com/microsoft/SEAL#introduction">SEAL</a>, <a href="https://github.com/ldsec/lattigo">Lattigo</a>, <a href="https://github.com/homenc/HElib">HElib</a> and <a href="https://github.com/data61/python-paillier">partially homomorphic encryption in Python</a> â€” HE is becoming feasible in real-world applications. The motivating scenarios include privacy-preserving use cases, where computation can be outsourced to an untrusted party, for example, running computation on encrypted data in the cloud, or enabling a third party to aggregate homomorphically encrypted intermediate <a href="https://en.wikipedia.org/wiki/Federated_learning">federated machine learning</a> results. Moreover, most HE schemes are considered to be <a href="https://csrc.nist.gov/Projects/Post-Quantum-Cryptography">secure against quantum computers</a>, and efforts are underway to <a href="https://homomorphicencryption.org/standard/">standardize</a> HE. Despite its current limitations, namely performance and feasibility of the types of computations, HE is worth your attention.</p>
Hotwire	Assess	Techniques	TRUE	"<p><strong><a href=""https://hotwire.dev/"">Hotwire</a></strong> (HTML over the wire) is a technique to build web applications. Pages are constructed out of components, but unlike modern SPAs the HTML for the components is generated on the server side and then sent ""over the wire"" to the browser. The application has only a small amount of JavaScript code in the browser to stitch the HTML fragments together. Our teams, and doubtlessly others too, experimented with this technique after asynchronous web requests gained cross-browser support around 2005, but for various reasons it never gained much traction.</p>

<p>Today, Hotwire uses modern web browser and HTTP capabilities to achieve the speed, responsiveness and dynamic nature of single-page apps (SPAs). It embraces simpler web application design by localizing the logic to the server and keeping the client-side code simple. The team at Basecamp has released a few Hotwire frameworks that power their own <a href=""https://hey.com/"">application</a>, including <a href=""https://turbo.hotwire.dev/"">Turbo</a> and <a href=""https://stimulus.hotwire.dev/"">Stimulus</a>. Turbo includes a set of techniques and frameworks to speed up the application responsiveness by preventing whole page reloading, page preview from cache and decomposing the page into fragments with progressive enhancements on request. Stimulus is designed to enhance static HTML in the browser by connecting JavaScript objects to the page elements on the HTML.</p>"
